soc10m,sc2010mg,N,w_human_E1,w_human_E2,emmr_human
3563  'Vocational and industrial trainers and instructors',356,53.50000023841858,16.85736512392759,18.49647664278746,.48795521
3564  'Careers advisers and vocational guidance specialists',356,25.60000026226044,4.559180974960327,11.86102982982993,.40975374
3565  'Inspectors of standards and regulations',356,197.6500011086464,33.15457735955715,67.17810763418674,.33768597
3567  'Health and safety officers',356,72.47293531894684,24.54720600694418,28.78637564182281,.53730947
4112  'National government administrative occupations',411,40.55000013113022,13.38981535285711,22.16114489734173,.6034621
4113  'Local government administrative occupations',411,45.60000038146973,13.36971985548735,24.10685688257217,.55752516
4114  'Officers of non-governmental organisations',411,36.10000044107437,11.08184472098947,15.96602074429393,.52811235
4121  'Credit controllers',412,33.10000020265579,6.423477133736014,19.98208874464035,.49590698
"4122  'Book-keepers, payroll mngrs and wages clerks'",412,62.50000107288361,15.65526903793216,32.91200140863657,.5137803
4123  'Bank and post office clerks',412,59.00000089406967,15.12156002223492,15.74056713655591,.38969225
4124  'Finance officers',412,31.35000002384186,5.832966797053814,16.42574168741703,.44803309
4129  'Financial administrative occupations n.e.c.',412,87.2500005364418,23.27307319268584,42.6829481869936,.51134151
4131  'Records clerks and assistants',413,100.2500004172325,25.17833035252988,51.91122549772263,.51006424
4132  'Pensions and insurance clerks and assistants',413,83.40000021457672,21.19615773484111,43.23053177446127,.51332641
4133  'Stock control clerks and assistants',413,24.25000023841858,3.498415343463421,10.07831056416035,.35206476
4134  'Transport and distribution clerks and assistants',413,21.30000013113022,4.83215693384409,10.06221179664135,.46306399
4135  'Library clerks and assistants',413,30.40000009536743,7.871729057282209,14.46519610658288,.49685287
4138  'Human resources administrative occupations',413,35.50000011920929,9.713558062911034,17.44156794250011,.51927722
4151  'Sales administrators',415,38.42200595140457,33.35246328264475,60.47528699040413,1.655044
4159  'Other administrative occupations n.e.c.',415,93.90000039339066,28.48915413022041,48.9734865501523,.56417358
4161  'Office mngrs',416,18.84999996423721,5.655743073672056,9.856596700847149,.56148762
4162  'Office supervisors',416,29.00000017881393,5.540265422314405,12.50903010368347,.40671656
4211  'Medical secretaries',421,30.90000015497208,6.899313203990459,13.77338821440935,.44614911
4212  'Legal secretaries',421,17.6000000834465,5.491079762578011,10.03740404546261,.59714669
4213  'School secretaries',421,28.05000007152557,7.899856667965651,11.7095863558352,.49036184
4214  'Company secretaries',421,11.17000015079975,6.903740078210831,8.380610972642899,.99320012
4215  'Personal assistants and other secretaries',421,40.9000004529953,13.35064703598619,18.62639855593443,.55412829
4216  'Receptionists',421,19.55000013113022,8.75984837859869,4.861420631408691,.57240707
4217  'Typists and related keyboard occupations',421,48.30000001192093,8.100449554622173,35.26319333910942,.5327546
5111  'Farmers',511,128.1000000834465,5.547616665251553,17.58167676441371,.11193173
5112  'Horticultural trades',511,26.35000020265579,1.958825834095478,4.34372977912426,.15676245
5113  'Gardeners and landscape gardeners',511,68.65000051259995,1.957419611513615,14.53723099827766,.13439235
5114  'Groundsmen and greenkeepers',511,26.75000029802322,.2849206402897835,2.247270815074444,.0526563
5119  'Agricultural and fishing trades n.e.c.',511,.6178179383277893,.2336653470993042,.2065737098455429,.1175428
5211  'Smiths and forge workers',521,.2235576957464218,0,0,.072345428
"5212  'Moulders, core makers and die casters'",521,.168749988079071,0,.8999999165534973,.072345428
5213  'Sheet metal workers',521,59.94999986886978,1.313898255117238,4.870375843718648,.06253688
"5214  'Metal plate workers, and riveters'",521,29.52788424491882,1.162817355245352,6.416242544539273,.14802749
5215  'Welding trades',521,90.45000028610229,1.726022262126207,6.955068508163095,.057529647
5216  'Pipe fitters',521,36.55000030994415,.3235035985708237,3.184964725747705,.052420955
5221  'Metal machining setters and setter-operators',522,38.30000048875809,1.024176578037441,12.68128774687648,.19229296
